age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week
39,State_gov,Bachelors,13,Never_married,Adm_clerical,Not_in_family,White,Male,40
50,Self_emp_not_inc,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,13
38,Private,HS_grad,9,Divorced,Handlers_cleaners,Not_in_family,White,Male,40
53,Private,11th,7,Married_civ_spouse,Handlers_cleaners,Husband,Black,Male,40
28,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Wife,Black,Female,40
37,Private,Masters,14,Married_civ_spouse,Exec_managerial,Wife,White,Female,40
49,Private,9th,5,Married_spouse_absent,Other_service,Not_in_family,Black,Female,16
52,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Exec_managerial,Husband,White,Male,45
31,Private,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,50
42,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,40
37,Private,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,Black,Male,80
30,State_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,Asian_Pac_Islander,Male,40
23,Private,Bachelors,13,Never_married,Adm_clerical,Own_child,White,Female,30
32,Private,Assoc_acdm,12,Never_married,Sales,Not_in_family,Black,Male,50
34,Private,7th_8th,4,Married_civ_spouse,Transport_moving,Husband,Amer_Indian_Eskimo,Male,45
25,Self_emp_not_inc,HS_grad,9,Never_married,Farming_fishing,Own_child,White,Male,35
32,Private,HS_grad,9,Never_married,Machine_op_inspct,Unmarried,White,Male,40
38,Private,11th,7,Married_civ_spouse,Sales,Husband,White,Male,50
43,Self_emp_not_inc,Masters,14,Divorced,Exec_managerial,Unmarried,White,Female,45
40,Private,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,60
54,Private,HS_grad,9,Separated,Other_service,Unmarried,Black,Female,20
35,Federal_gov,9th,5,Married_civ_spouse,Farming_fishing,Husband,Black,Male,40
