education,education_num,occupation,hours_per_week,label
Bachelors,13,Adm_clerical,40,0
Bachelors,13,Exec_managerial,13,0
HS_grad,9,Handlers_cleaners,40,0
11th,7,Handlers_cleaners,40,0
Bachelors,13,Prof_specialty,40,0
Masters,14,Exec_managerial,40,0
9th,5,Other_service,16,0
HS_grad,9,Exec_managerial,45,1
Masters,14,Prof_specialty,50,1
Bachelors,13,Exec_managerial,40,1
Some_college,10,Exec_managerial,80,1
Bachelors,13,Prof_specialty,40,1
Bachelors,13,Adm_clerical,30,0
Assoc_acdm,12,Sales,50,0
7th_8th,4,Transport_moving,45,0
HS_grad,9,Farming_fishing,35,0
HS_grad,9,Machine_op_inspct,40,0
11th,7,Sales,50,0
Masters,14,Exec_managerial,45,1
Doctorate,16,Prof_specialty,60,1
HS_grad,9,Other_service,20,0
9th,5,Farming_fishing,40,0
11th,7,Transport_moving,40,0
HS_grad,9,Tech_support,40,0
Bachelors,13,Tech_support,40,1
HS_grad,9,Craft_repair,40,0
HS_grad,9,Exec_managerial,80,0
HS_grad,9,Craft_repair,40,0
Assoc_acdm,12,Protective_serv,52,0
Some_college,10,Sales,44,0
Bachelors,13,Exec_managerial,40,0
Some_college,10,Adm_clerical,40,0
Some_college,10,Other_service,15,0
11th,7,Machine_op_inspct,40,0
Some_college,10,Machine_op_inspct,40,0
HS_grad,9,Adm_clerical,25,0
Assoc_acdm,12,Prof_specialty,40,0
9th,5,Machine_op_inspct,43,0
Bachelors,13,Prof_specialty,40,0
Bachelors,13,Tech_support,50,0
HS_grad,9,Adm_clerical,40,0
HS_grad,9,Handlers_cleaners,35,0
Bachelors,13,Prof_specialty,40,1
HS_grad,9,Machine_op_inspct,38,0
Masters,14,Exec_managerial,40,0
Assoc_voc,11,Craft_repair,40,0
Assoc_voc,11,Prof_specialty,43,0
Some_college,10,Exec_managerial,40,0
Prof_school,15,Prof_specialty,60,1
Bachelors,13,Exec_managerial,55,1
HS_grad,9,Exec_managerial,60,0
Some_college,10,Tech_support,40,1
5th_6th,3,Machine_op_inspct,40,0
Assoc_voc,11,Other_service,40,0
HS_grad,9,Adm_clerical,48,0
HS_grad,9,Machine_op_inspct,40,0
Bachelors,13,Sales,40,0
HS_grad,9,Transport_moving,40,0
Doctorate,16,Prof_specialty,45,1
Some_college,10,Tech_support,58,0
HS_grad,9,Craft_repair,40,0
Some_college,10,Adm_clerical,40,0
HS_grad,9,Adm_clerical,40,1
Some_college,10,Exec_managerial,50,1
Some_college,10,Prof_specialty,32,0
Bachelors,13,Sales,40,0
Bachelors,13,Sales,70,1
Some_college,10,Machine_op_inspct,40,0
Some_college,10,Prof_specialty,20,0
HS_grad,9,Other_service,40,0
Assoc_acdm,12,Adm_clerical,40,0
11th,7,Other_service,22,0
7th_8th,4,Farming_fishing,40,0
HS_grad,9,Sales,30,0
Bachelors,13,Other_service,40,0
HS_grad,9,Other_service,40,0
HS_grad,9,Sales,48,0
HS_grad,9,Craft_repair,40,1
HS_grad,9,Sales,35,0
HS_grad,9,Protective_serv,40,1
Masters,14,Prof_specialty,50,0
9th,5,Sales,40,0
Doctorate,16,Prof_specialty,50,1
Assoc_voc,11,Prof_specialty,40,0
Some_college,10,Craft_repair,40,0
Some_college,10,Machine_op_inspct,25,0
Bachelors,13,Protective_serv,40,1
Some_college,10,Handlers_cleaners,50,0
Doctorate,16,Prof_specialty,60,1
Some_college,10,Sales,48,1
Assoc_acdm,12,Exec_managerial,40,0
HS_grad,9,Other_service,40,0
Masters,14,Exec_managerial,40,1
Bachelors,13,Exec_managerial,60,1
Masters,14,Prof_specialty,50,0
Some_college,10,Tech_support,40,0
HS_grad,9,Craft_repair,40,0
HS_grad,9,Craft_repair,40,1
11th,7,Handlers_cleaners,40,0
HS_grad,9,Adm_clerical,40,0
HS_grad,9,Handlers_cleaners,40,0
Bachelors,13,Sales,40,0
Prof_school,15,Prof_specialty,40,1
HS_grad,9,Other_service,50,1
Some_college,10,Sales,25,0
HS_grad,9,Machine_op_inspct,40,0
9th,5,Handlers_cleaners,50,0
Some_college,10,Sales,50,0
Assoc_voc,11,Craft_repair,40,1
Some_college,10,Sales,56,0
HS_grad,9,Craft_repair,41,0
Some_college,10,Other_service,40,0
Bachelors,13,Exec_managerial,60,0
Bachelors,13,Exec_managerial,40,0
Bachelors,13,Prof_specialty,50,1
Some_college,10,Other_service,35,0
Bachelors,13,Exec_managerial,40,1
Some_college,10,Adm_clerical,28,0
Assoc_acdm,12,Adm_clerical,40,1
Some_college,10,Craft_repair,40,0
